"query","search interest","increase percent"
"running shoes",23,"Breakout"
"sneakers for men",15,"Breakout"
"demon slayer",12,"Breakout"
"anime t shirts",11,"Breakout"
"nike sneakers",11,"Breakout"
"anime bag",10,"Breakout"
"white sneakers",10,"Breakout"
"air force 1",10,"Breakout"
"itachi shoes",9,"Breakout"
"anime merch",8,"Breakout"
"skechers",7,"Breakout"
"zoro anime",6,"Breakout"
"nike air force 1",6,"Breakout"
"crocs",5,"Breakout"
"jujutsu kaisen",5,"Breakout"
"casual shoes for men",5,"Breakout"
"hoodies for men",5,"Breakout"
"new balance shoes",5,"Breakout"
"anime hoodies for men",5,"Breakout"
"sports shoes for men",5,"Breakout"
"akatsuki shoes",4,"Breakout"
"anime merchandise",4,"Breakout"
"anime stickers",4,"Breakout"
"asian shoes",4,"Breakout"
"h&m",3,"Breakout"
"woodland shoes",3,"Breakout"
"crunchyroll",3,"Breakout"
"skating shoes",2,"Breakout"
"anime planet",2,"Breakout"
"anime salt",2,"Breakout"
"comet shoes",2,"Breakout"
"football shoes",22,"300%"
"nike jordan shoes",18,"250%"
"anime t shirt",36,"200%"
"anime hoodie",24,"200%"
"anime tshirt",15,"180%"
"anime printed shoes",29,"170%"
"anime shirt",50,"170%"
"nike shoes for men",16,"170%"
"custom anime shoes",32,"160%"
"jordan shoes",44,"160%"
"anime custom shoes",32,"160%"
"sneakers shoes",56,"150%"
"air jordan",18,"140%"
"shirt for men",14,"140%"
"shoes for men",85,"130%"
"anime clothes",11,"120%"
"demon slayer shoes",12,"110%"
"sneakers",56,"110%"
"white shoes for men",11,"110%"
